Work_Location,Age,Experience_Years,Work_Hours_Per_Week,Salary,Sleep_Hours,Social_Interactions,Productivity,Isolation_Score,WellBeing_Score,Stress_Level
Office,27,5.6,54.6,7893,5.5,3.6,80.4,2.77,3.72,High
Hybrid,23,1.9,43.7,7957,6,4.3,81.9,4.39,3.77,High
Office,30,8.4,54,8336,6.5,6,80.1,3.02,4.25,High
Remote,30,6.8,43.6,8183,6.4,6.9,72.5,6.75,2.77,High
Office,32,8.9,57.3,8879,4.9,8.2,57,3.69,4.46,High
Office,30,7.2,60,7732,6.2,3.6,72.4,2.22,4.23,High
Remote,28,5.6,40.7,8118,7,4.7,85.3,5.83,2.84,High
Office,33,10.3,48.2,9017,6,7.8,81.3,3.83,3.86,High
Office,41,15.6,54.6,10291,5,3.3,68.6,3.34,2.96,High
Office,25,3.3,52.7,6626,5.9,4.3,45,4.41,2.21,High
Remote,27,4.1,42.8,8968,7.2,5.3,78.1,6.49,2.47,High
Remote,35,12.3,39.9,10256,6.1,2,54.2,7.65,1.38,High
Office,31,7.4,41.8,8530,5.9,7.5,68.1,4.06,3.29,High
Office,38,13.5,57.3,10027,6.2,4.1,84.8,4.28,2.57,High
Remote,38,10.9,38.8,10661,8.1,2.9,81.7,7.21,3.06,High
Office,43,19.1,44.9,10910,7.6,4.4,89.3,2.03,4.19,High
Hybrid,23,1.9,45.3,6255,5.1,6.3,62.7,2.63,3.62,High
Remote,28,5.8,47,8646,5.5,6.9,62.9,7.1,3.49,High
Office,21,0,56.5,5322,5.5,4.3,58,3.16,1.83,High
Remote,39,12.8,36.2,10810,7.4,5.4,63.5,5.94,2.77,High
Office,28,4.4,51.7,7224,6.7,3.2,57.3,3.2,2.81,High
Office,40,17.5,53.9,10340,6,3.6,49.8,2.76,3.39,High
Hybrid,39,10.9,39.3,9432,6.3,7,71,4.11,3.86,High
Remote,25,2.6,48.8,7963,4.6,4.6,56.4,9.4,1.2,High
Remote,33,9,48.4,9589,7,3,67.6,4.92,2.81,High
Office,39,15.9,47,11279,5.7,7.1,76.2,3.6,5.01,Medium
Remote,28,6.7,42.1,9594,5.3,6.2,72.6,7.11,2.63,High
Remote,30,8.7,36.2,9396,8.8,2.1,72.6,6.81,2.04,High
Remote,24,2.2,46.4,8301,5.2,5.9,62.7,5.78,3.89,High
Office,33,7.3,43,7369,5.1,3.9,53,3.03,2.12,High
Remote,35,9,44.2,10551,6.3,6.6,65.3,8.34,2.67,High
Hybrid,42,13.3,43.5,11672,6.2,8.4,87.4,4.33,4.74,Medium
Office,21,0,44.4,5903,6.4,6.5,64.5,2.17,4.94,Medium
Hybrid,22,0.7,47,6759,6.7,2.8,82.9,4.41,2.6,High
Remote,21,0,42.9,7491,5.5,8.6,80.5,5.31,5.67,Medium
Remote,36,10.8,40.9,9864,6.8,7.3,83.1,6.47,3.83,High
Hybrid,37,12.5,51.6,9967,5.8,8.9,78.3,5.51,3.27,High
Hybrid,22,0.9,46.9,5856,7.2,1.6,67.1,4.28,1.85,High
Remote,26,4.5,35.1,7661,6.2,4.6,83.3,7.06,1.65,High
Hybrid,34,9.3,34.8,10290,5.5,2.4,69,3.79,3.11,High
Remote,43,22,30.8,13092,7.1,6.1,100,6.72,3.66,High
Remote,33,8.1,47.2,8605,5.6,7.2,72.4,8.75,2.44,High
Office,36,11.4,51.6,9534,5.8,4,73.3,2.39,3.4,High
Remote,32,10,41.7,9680,5.6,4.5,68.3,9.6,1.43,High
Remote,32,10.7,44.2,10175,7.1,5.1,72.8,6.83,3.86,High
Remote,34,8.7,45.4,9622,6.9,5.6,78.5,6.4,0.96,High
Hybrid,21,0,41.9,6290,7,1.6,82.6,4.04,1.62,High
Remote,33,11.3,40.5,10123,7.2,4,74.1,4.19,3.4,High
Remote,33,11.4,43.3,9951,7.9,9.8,92.3,5.95,5.4,Medium
Remote,22,0.6,39.6,7702,6.9,4.5,80.6,7.69,2.71,High
Remote,26,4.8,39.3,8202,6.2,5.5,74.7,7.63,1.9,High
Office,24,2.6,44.5,5631,7.2,3.4,82.6,2.49,2.73,High
Remote,21,0,41.4,6799,5.4,6.3,70.1,6.43,2.55,High
Remote,37,13.1,46.4,10475,5.9,8.7,57.8,6.89,3.51,High
Office,30,5.9,43.1,7633,6.5,5.4,76,4.32,3.74,High
Hybrid,35,10.4,45,9929,5.8,1.5,63.5,4.76,2.18,High
Remote,40,13.9,37.2,10568,6.6,3.1,68.5,7.3,2.65,High
Remote,24,2.7,48.1,8423,6.9,3,49.5,6.77,2.66,High
Hybrid,31,8.4,47.1,8746,6.7,6.8,76.6,4.21,4.25,High
Office,38,13,53.3,11005,6.9,3.7,70.6,3.6,2.36,High
Remote,39,16.8,50.4,11600,5.5,7.4,78.5,7.36,3.09,High
Remote,46,15.4,44.4,12842,6.6,4.9,49.1,7.62,1.78,High
Remote,28,4.8,40.8,9207,7.4,7.2,69.2,5.28,4.38,High
Office,41,16,46.2,9907,5.6,4.6,73.6,2.7,2.84,High
Remote,29,6.1,36.2,8385,6.5,3.8,74.8,5.93,5.08,Medium
Remote,40,13.3,39.2,10496,7.4,3.5,76.8,7.04,3.07,High
Hybrid,42,14,44.5,11783,5.1,2.5,62.3,4.4,2.16,High
Hybrid,26,4,46,7236,6.1,6.7,59.7,3.8,2.73,High
Remote,35,8.9,37.2,9814,6,1.5,75.6,5.94,1.86,High
Hybrid,21,0,45.7,5586,8.3,2.8,76.2,3.68,3.77,High
Hybrid,37,14.5,35.4,10656,6.7,2.7,71.7,4.63,4.51,Medium
Remote,29,6.5,46.9,9084,4.9,5.6,53.7,7.03,2.01,High
Remote,49,18.7,48.2,12666,4,4,51.9,7.41,2.8,High
Remote,22,1,39.9,6942,6.1,4,66.2,7.63,1.29,High
Hybrid,21,0,50.1,6633,5.6,4.9,70.4,3.52,3.87,High
Office,42,13,38.9,9950,5.3,0.8,70.5,3.04,0,High
Hybrid,41,19.4,42.5,11685,5.4,4.3,70.6,4.47,2.73,High
Remote,43,20.2,47.9,12794,4.4,4.6,65.7,7.67,3.07,High
Office,35,13.7,55.9,9937,7.2,6.3,69.2,2.43,3.45,High
Hybrid,24,2,38.8,7198,7,4.1,59,5.21,3.44,High
Office,37,14.9,52.1,9610,7.3,5.8,81.7,2.82,4.56,Medium
Hybrid,26,4.7,42.9,8350,4.7,4.9,42.7,3.29,2.59,High
Remote,27,5.4,45.5,8941,4.3,8.1,62.1,6.05,2.55,High
Remote,35,8.7,46.7,9579,5.5,7.2,73.8,8.67,3.26,High
Remote,32,10.2,46.5,9691,6.1,5.7,63.6,8,1.18,High
Office,29,7.6,56.3,7486,5.3,4.6,46.6,3.16,4.04,High
Hybrid,33,7.6,47.8,8542,6,7.4,60,3.66,2.84,High
Office,42,19.1,42.7,10905,7.4,7.1,77.7,3.56,5.6,Medium
Remote,31,7.3,32.4,8685,8.8,6.6,85.5,5.94,4.22,High
Hybrid,42,15.3,38.4,11265,5.1,1.5,86.9,0.74,3.8,High
Hybrid,28,5.5,49.7,7915,5.7,4.5,78.9,6.25,2.68,High
Remote,35,13.5,48.2,11423,4.6,3.5,66.6,6.94,1.77,High
Office,27,3.9,54.2,6825,6,2.4,53.4,3.7,3.42,High
Remote,21,0,36.9,6093,9,6.5,84.8,7.72,3.42,High
Hybrid,38,13,48.4,9803,6.2,7.1,71.2,5.27,3.19,High
Hybrid,35,10.1,48.6,8982,6.3,4.9,81.2,5.6,3.16,High
Office,47,17.8,50,11188,6.4,4.9,64.7,2.63,3.86,High
Remote,38,13.3,38.3,10984,5.2,6.2,67.5,6.69,3.58,High
Remote,40,13.8,36.3,10722,5.6,9.5,81.4,6.97,3.55,High
Office,27,4,43.4,7361,6.6,3,67,3.19,2.44,High
Remote,33,7.3,37.3,9824,6.4,3.5,76,7.46,2.95,High
Office,30,6,52,8031,6.3,2.6,68.3,3.69,2.74,High
Hybrid,27,4,54.2,7481,4.1,2.1,72.2,4.25,1.75,High
Remote,37,10.9,48.2,11402,5.4,6.1,77.6,7.62,2.79,High
Office,25,3.6,48.5,6969,6.5,6.2,66.3,2.73,3.44,High
Remote,46,18.3,46,12673,5.9,8.4,78.2,8.11,3.47,High
Hybrid,25,3.7,45.5,7639,4,9.3,74.2,3.51,3.15,High
Office,29,7,44.9,7695,8.4,3.3,57.2,1.8,4.23,High
Office,32,10.5,55.5,7799,5.4,8.5,57.5,2.31,4.48,High
Remote,32,7.1,34.6,9700,6.1,4.8,71.9,5.88,2,High
Remote,35,8.6,33.9,9256,8.1,7.2,80,8.26,3.18,High
Remote,21,0,44.5,6929,6.2,3.5,58.9,6.26,2.02,High
Remote,36,12.2,40.6,10332,8.7,2.9,56.9,5.94,2.42,High
Office,44,18.6,41.9,11195,6.6,3.8,67.8,2.64,3.18,High
Remote,22,1,43.1,6912,6.7,1.9,74.4,6.64,1.29,High
Office,38,13.7,48.8,9458,6,4.6,78.4,3.43,3.16,High
Hybrid,30,6.4,45.6,7983,6.2,6.6,72.1,5.15,3.47,High
Office,31,7.6,48.3,7850,7.2,4.5,61.6,3.85,3.97,High
Office,33,8.7,53,7870,5.5,2.6,41.9,4.65,1.78,High
Office,21,0,40.2,6673,6.6,7,69.1,1.43,4.17,High
Office,21,0,48.2,6875,7.4,3.4,89,4.38,2.62,High
Remote,38,12.1,34.5,10678,6,0.4,84.3,5.71,1.02,High
Office,33,10.3,32.7,8960,4.2,6.6,49.4,1.55,4.26,High
Remote,52,18.9,42.9,13269,8.6,3.3,79.9,8.27,3.53,High
Office,31,7.9,57.6,8316,5.8,6.4,53.6,2.78,4.64,Medium
Remote,34,12.5,50.5,10888,6.2,6.2,64.2,7.19,2.95,High
Office,51,21.4,46.5,12762,5.7,6.6,90.7,2.97,2.51,High
Office,45,16.6,44.1,10792,5.8,4.8,66,3.46,3.99,High
Office,29,6.8,40,7612,7.7,8.4,61.7,3.32,5.32,Medium
Hybrid,33,9.7,50.5,8920,7.4,2.8,80.3,5.75,3.36,High
Hybrid,44,21.3,46.9,12840,7.8,4.8,82.4,2.89,3.56,High
Remote,21,0,42.7,6239,5.4,0.8,63.4,5.29,1.71,High
Remote,40,18.4,38.1,11938,6.1,4.8,75.5,5.09,2.77,High
Remote,28,6.3,39.2,8743,8,7,63.7,7.85,2.84,High
Office,34,9.5,50,9021,6.7,2.7,75.4,2.25,2.59,High
Hybrid,42,17.8,39.8,12773,6.1,7.8,72.8,4.11,2.66,High
Hybrid,32,8.7,39.1,9501,7,4,72,3.79,3.57,High
Remote,34,9.8,35.4,9527,6.4,6.5,91.8,8.17,2.13,High
Office,30,5.6,60,7083,5,3.5,62.6,1.18,3.3,High
Office,33,7.8,56,7912,6.3,7.6,79.1,1.63,4.98,Medium
Office,41,15.6,50.9,10190,6.3,5.2,52.6,3.22,3.29,High
Office,29,7.6,49.7,8341,4.4,5,75.9,2.14,3.37,High
Hybrid,31,9,49.6,8094,5.7,6.9,65.6,2.56,3.98,High
Remote,30,8.4,43.9,9947,6.9,7.3,83,8.19,2.99,High
Remote,37,15.3,42,10596,7.4,1.7,75.7,7.81,1.01,High
Hybrid,25,3.6,50.2,7385,6.4,7.9,44.1,2.39,4.72,Medium
Office,48,24.5,44.6,12282,7.4,5.3,77.3,3.82,2.78,High
Remote,37,12.5,50.3,10728,7,5.9,71.3,6.67,3.26,High
Hybrid,32,10.6,47.6,9768,6.3,6.1,54.8,4.88,3.5,High
Hybrid,30,7.5,48.5,8292,4.1,5.3,63.2,4.33,3.07,High
Hybrid,37,12.6,42.8,9559,5.2,3.9,53.8,5.68,2.87,High
Hybrid,43,20.6,40,12171,5.5,4.7,60.2,4.68,3.31,High
Office,37,11.9,47.8,9738,5.8,5,63.2,2.72,4.36,High
Office,23,1.4,57.5,6489,4.7,5.6,46,2.97,3.41,High
Hybrid,28,6.5,38.4,8256,5.9,7.5,67.4,4.77,4.24,High
Remote,27,4.8,39.3,8284,4.9,2.5,54.5,5.88,2.45,High
Office,25,3.7,47.2,7206,5.8,3.3,83.8,2.64,1.44,High
Remote,24,2.9,46.7,7601,5.7,5.3,40,10,1.59,High
Office,22,0.7,45.5,5764,7.6,2.3,86.4,4.32,3.72,High
Hybrid,35,13,46.8,10015,7.6,3.2,76.4,3.18,3.42,High
Office,50,22.2,43.2,12579,5.6,2.2,71.6,3.26,2.82,High
Office,31,6.1,47.6,7029,6.8,5.9,61.4,2.64,3.08,High
Remote,30,8.8,41.3,8715,4.8,3.8,48.4,6.73,1.08,High
Remote,46,16.7,36.7,12952,6,4.1,62.1,6.28,2.06,High
Hybrid,38,14,43.6,9795,6.6,7.4,80.1,5.15,3.51,High
Office,24,1.9,51.2,6936,5.8,1.5,83.7,3.12,2.08,High
Office,25,3.9,47.5,7090,6.5,6,61.8,4.24,3.69,High
Remote,21,0,38.4,6882,7.9,5.2,66.1,6.35,2.73,High
Remote,24,2.8,38.1,7720,7.8,4.5,83.2,6.06,3.74,High
Remote,25,3.8,45.5,8137,5.9,6.1,76.6,7.06,2.89,High
Office,22,0.9,36,5543,7.7,4.2,77.1,1.52,4.49,High
Remote,37,15.5,50.4,12357,4,5.3,60.7,5.77,1.79,High
Office,26,4.2,45.3,7382,5.5,6.5,88.9,2.25,3.76,High
Hybrid,28,5.1,41.8,7670,6.4,5.8,74,5.05,2.98,High
Remote,21,0,44,6990,5.4,1.9,85.5,6.41,1.53,High
Office,46,20.1,35.1,11568,7.4,2.7,86.6,3.42,3.49,High
Hybrid,28,5,44.1,8453,7.5,5.3,83.6,3.1,5.23,Medium
Office,42,15.9,60,10338,5.4,7,70.4,2.18,3.43,High
Office,24,2.1,38.3,6653,6.1,6.3,63,2.67,3.9,High
Office,35,8.6,40.5,9162,6.9,5.6,72.7,1.69,4.41,High
Office,36,11.6,39.5,8960,7,6.5,82.5,2.94,4.61,Medium
Remote,40,13.4,44.3,11159,4.8,4.7,69.2,6.95,2.54,High
Hybrid,46,15.4,40.7,12234,5,6.8,75,5.66,2.24,High
Remote,21,0,36.9,6600,6,6.8,74.9,6.07,1.83,High
Hybrid,35,12.5,47,10350,5.7,5.8,58.5,6.17,2.09,High
Hybrid,43,20.8,46.6,12381,6.4,4.9,76.9,3.84,2.69,High
Office,28,5.2,37.6,5849,5.6,5.8,80.2,1.51,4.5,High
Remote,21,0,40.6,7538,5.3,2.4,64.9,3.32,2.37,High
Remote,24,2.9,47.7,7568,6.4,7,54.7,8.1,2.69,High
Office,38,11,43.9,8040,4,2.1,79,3.26,2.08,High
Remote,30,8.2,37.9,8481,5.8,5.3,66.4,5.55,2.64,High
Remote,28,5.5,41.9,9135,5.5,6.8,74.7,6.99,1.76,High
Hybrid,45,16.3,44.4,11309,5.8,4,64.4,4.98,2.52,High
Office,24,2.4,47.6,6528,5.3,9.1,61.3,4.53,3.54,High
Remote,33,10,53,9517,8.6,6.8,71.5,9.5,3.02,High
Office,23,1.9,42.9,6103,6.3,6.7,81.5,3.19,4.65,Medium
Office,34,10.3,53.4,9221,5.6,4.7,78.7,1.75,3.02,High
Remote,40,15,46.4,10579,6.8,8,82.6,6.61,4.65,Medium
Office,48,23.8,45.8,12081,7.2,4.3,70.9,2.83,3.3,High
Remote,29,6.1,57.3,9227,6.6,3.3,68.4,8.24,1.92,High
Hybrid,39,15.5,49.3,10611,7.8,4.6,69.7,2.87,3.76,High
Office,43,20.7,52.4,11294,6,4.5,63.9,4.47,2.23,High
Office,22,1,48.2,5526,6,8.6,51.8,2.55,5.14,Medium
Remote,28,5.4,47.1,8004,7.9,3.4,82,5.95,2.46,High
Office,36,10.4,50.3,9620,6.4,5.6,75.9,4.01,2.15,High
Hybrid,49,25.2,42.8,12892,6.1,1,61.1,4.11,2.17,High
Remote,42,20.9,48.6,12045,6.5,4.8,87.1,9.22,2.76,High
Office,24,2.3,51.2,7258,4.6,5.4,51.9,2.72,2.65,High
Hybrid,38,15.4,49.1,10562,5.8,4.8,57.3,4.68,3.1,High
Remote,27,5.1,43.5,7852,6.5,6.3,70.2,6.54,4.21,High
Office,35,13.5,56.3,9870,7,2.9,72.2,3.77,2.8,High
Office,37,11.1,41.6,9091,6.1,7.4,69.8,3.45,4.7,Medium
Hybrid,38,13.2,50.1,10267,6,1.8,66,6.06,1.37,High
Remote,37,12.8,42.9,10464,7.4,2.1,86.8,8.45,3.17,High
Remote,43,18,42.7,12483,6.5,7.6,74.9,8.18,4.04,High
Office,41,18.8,53.6,10543,6.7,6,53.6,3.03,4.31,High
Hybrid,22,1,45.6,6564,5.5,4.1,49.6,3.98,2.59,High
Hybrid,24,2.3,48,6854,6.5,6.7,72.6,5.82,4.16,High
Office,32,10.4,52.1,9767,5.5,6,79.2,2.42,3.7,High
Remote,34,10.1,36.7,8694,6.6,5.6,63.5,5.55,2.09,High
Hybrid,45,20,47.7,12433,5.5,2.2,60.5,3.34,2.06,High
Office,28,5,58.9,7004,5.7,2.7,65.3,2.95,1.67,High
Office,42,17.6,50.7,11334,5.8,3.6,80.7,2.69,2.8,High
Hybrid,29,4.9,48.2,7824,6.6,5.7,61.1,3.91,2.07,High
Remote,34,9.4,45.9,9991,6.2,3.5,65.9,6.89,3,High
Office,30,7.7,45.6,8585,6.1,7.2,60.9,3.25,3.74,High
Remote,27,4.1,41.9,7608,7.7,5.5,73.5,6.12,2.84,High
Hybrid,42,19,50.7,11402,4.6,4.2,61.1,3.42,2.74,High
Office,38,11.8,53.1,9624,6.6,6.1,73.2,3.12,4.37,High
Remote,39,13,35.4,11102,6,4.4,65.4,8.69,1.76,High
Office,32,6.8,54.7,8120,5.7,4.3,56.6,2.35,3.88,High
Remote,27,4.5,37.1,8094,7.6,1.9,72.3,6.58,2.31,High
Remote,46,24.8,46.4,13971,7.2,8.1,93.8,5.84,3.52,High
Office,39,13.3,55,10658,5.3,6.6,66.7,3.1,3.67,High
Office,24,2.4,47.3,5762,6.9,5.2,75.4,2.28,4.61,Medium
Hybrid,36,13.4,39.6,9798,5.8,3.6,61.7,5.79,1.5,High
Hybrid,44,16.4,41.3,10812,7.2,5.6,56,4.29,2.67,High
Office,26,5,47,6633,6.8,4.4,66.3,2.88,3.89,High
Remote,28,4.9,49.3,7651,7.2,5.4,66,6.91,3.13,High
Remote,27,5.5,51.4,7618,7.8,0.9,85.8,7.61,1.52,High
Office,23,1.9,52.3,6644,6.3,5.9,63.9,3.4,3.68,High
Office,34,9,52.9,8487,7.2,4.1,69,3.28,3.3,High
Hybrid,28,6.6,45,8388,8,3.1,70.1,5.4,3.76,High
Remote,44,20.5,38.8,12953,6.2,5.3,75.6,8.34,2.68,High
Hybrid,30,5.8,44.3,7934,6.7,2.1,66.1,2.87,2.87,High
Remote,21,0,44.1,7082,6,6,54.7,8.11,2.27,High
Hybrid,29,5.6,50.2,8911,6.5,4.4,68.8,5.95,3.13,High
Office,21,0,43.4,5991,6.6,3.3,65.8,2.39,2.28,High
Office,42,18.8,50.2,11244,8.2,3.6,79.1,3.35,4.36,High
Remote,31,8,41.5,8730,5.4,1.6,75.1,7.03,0.47,High
Remote,33,11,46.2,8708,6.5,8,57.2,5.74,4.63,Medium
Office,43,16.9,37.2,10141,7.9,8.5,75.4,2.41,3.88,High
Office,30,5.9,44.8,7971,5.2,4.8,52.6,3.09,2.56,High
Remote,32,7,40.1,9632,7.9,6.8,86.8,7.34,4.72,Medium
Hybrid,28,6.1,45.5,7893,4.8,5.3,58.7,3.3,2.64,High
Remote,29,7.5,49.5,9039,6.5,4.6,66.1,7.48,1.59,High
Remote,34,11.9,40.1,11202,5.6,3.9,48.1,7.25,1.14,High
Hybrid,30,7.9,41.1,8607,5.2,7.2,92.7,4.37,3.45,High
Remote,42,18.7,46,11624,7.8,1.2,64.1,8.68,1.67,High
Office,26,4.4,52.1,6915,6.9,3.6,59.2,2.32,2.89,High
Remote,36,12.3,42.4,10664,8.4,4.6,94.2,5.72,3.38,High
Hybrid,27,4.3,43.2,6667,6.5,7.5,52.3,4.08,4.37,High
Remote,31,8.4,30.6,9305,6.1,6.4,60.2,6.57,3.55,High
Remote,28,5.1,32.8,7412,4.6,2.5,73.2,9.13,0.81,High
Remote,33,10.3,36.7,10201,7.8,8.2,63,6.89,6.26,Medium
Remote,46,17.3,57.3,12293,5.6,2.9,65.8,6.63,0.19,High
Remote,43,14.7,48.1,12067,4.7,4.3,62.7,5.39,3.45,High
Office,24,2.2,55.3,7038,6.6,6.7,69.4,3.6,3.53,High
Remote,39,17.1,42.3,11244,7.5,1.1,74.7,8,2.34,High
Hybrid,28,5.3,48.6,8241,5.1,3.1,73.2,2.58,2.63,High
Office,31,6.2,39.6,7156,7.7,5.9,81,1.06,3.65,High
Remote,27,3.7,44.1,8081,5.4,2.3,62.9,7.37,1.5,High
Office,25,3.8,44.8,6287,6.9,6.8,63.3,3.48,3.81,High
Office,22,0.8,54.5,5248,5.7,8.4,51.2,4.29,5.36,Medium
Remote,40,15.3,52.6,11549,6.5,4.3,59.4,7.34,2.35,High
Office,26,3.3,48.3,7338,5,6.2,59.5,2.82,4.02,High
Remote,21,0,44.2,7390,6,3.7,58.6,5.67,3.2,High
Remote,44,21.5,46,12936,6.1,2.8,78.3,7.43,1.68,High
Office,47,21.4,42,12004,7,1.6,66.7,1.8,1.73,High
Remote,28,5,40,8529,7.9,8.5,72.2,5.77,4.82,Medium
Hybrid,37,10.9,47,10104,7.3,8.2,65.5,2.65,5.2,Medium
Remote,44,19.9,43.6,12303,5.8,7.5,77.7,7.8,3.64,High
Remote,30,6.5,41.7,8787,6.9,2.6,69.6,6.69,1.29,High
Remote,54,29.2,31.6,14330,6.6,3.8,73.6,6.56,1.39,High
Office,36,9.7,48.4,8941,7.6,0.7,54.1,2.92,2.52,High
Hybrid,22,0.9,46,7332,6.5,4.8,87.8,1.28,4.73,Medium
Office,40,13.8,49.6,9718,7.2,7.6,75,3.49,4.8,Medium
Remote,27,4.2,44.2,7720,5.2,5.1,58.1,5.01,3.29,High
Hybrid,21,0,39.6,6484,6,5.2,58.4,3.57,3.9,High
Remote,36,11.5,42.5,10216,7.3,5.7,81.6,6.15,3.05,High
Hybrid,23,1.3,34.8,6617,4.8,4.3,59.2,4.81,2.31,High
Remote,35,10.7,34.7,10580,7.5,5.5,53,7.83,3.82,High
Office,35,8.9,41.7,8577,5.6,6.5,67.6,2.37,4.16,High
Remote,47,17.7,39,13009,5.5,3.9,81.4,8.99,2.13,High
Remote,55,27.3,40.9,14954,4.9,3.6,77.3,6.17,1.09,High
Hybrid,33,8.1,39.8,8446,7.9,2,87,4.34,3.38,High
Hybrid,51,27.4,49.2,13831,6.1,6.1,87.3,5.52,4.55,Medium
Office,32,10.2,47.9,7850,6.7,4.8,69.3,1.23,3.39,High
Remote,29,6.5,46.6,9168,7.4,5.6,81.7,7.77,4.22,High
Office,36,9.8,46.1,8607,5.7,3.1,66.6,3.48,2.16,High
Office,37,14.5,43.4,10241,7.3,4.9,61.8,3.09,4.01,High
Remote,39,17.3,38,11642,7.1,3.1,62.4,6.05,2.81,High
Remote,41,17.1,35.1,11347,5.6,0.1,76.4,6.64,0,High
Office,28,6.5,38.5,8065,6.6,6.3,68.7,2.85,3.38,High
Remote,28,5.8,39.8,9927,5.2,7.3,57.9,6.54,1.64,High
Office,35,12.4,43.6,10031,6.7,4.3,69,2.66,2.66,High
Hybrid,37,10.1,43.2,9066,5.9,2.9,62.1,5.25,1.62,High
Office,41,12.7,51.6,9028,8.5,3.8,89.8,2.25,3.71,High
Remote,34,11,39.6,9184,5.8,1.6,81.9,7.51,2.36,High
Remote,24,2.2,38.9,7904,5.3,3.8,40,6.62,2.54,High
Remote,35,10.2,42.8,9819,4.7,3.3,77.2,10,2.24,High
Office,31,6,48.5,7940,4.1,1.8,68.2,2.29,0.59,High
Hybrid,29,6.3,47,7870,6.1,4.3,71.1,3.39,3.38,High
Hybrid,40,17.1,47.7,11352,6.9,4.7,89.7,6.93,3.15,High
Office,34,11.7,42,8891,5.4,4.5,66.2,2.89,3.33,High
Office,30,6.7,59.5,7892,5.7,3.6,62.3,4.03,3.21,High
Office,42,17.9,49.1,11044,6.2,0.4,69,2.91,1.67,High
Office,21,0,41.6,6071,6.7,6.9,53.8,1.69,4.15,High
Remote,26,4.8,46.8,8597,5.1,2.8,72.1,7.46,2.38,High
Remote,37,10.8,45.8,10550,5,4.7,67.2,8.36,1.69,High
Remote,49,23,47.9,12663,5.4,2.7,70.5,7.17,1.26,High
Hybrid,28,5.6,37.3,8516,5.1,4.9,79.5,2.99,3.53,High
Remote,42,16.4,41.4,12109,6.5,8.1,79.3,10,2.97,High
Office,34,12.6,52.4,9100,7,4.4,85,3.56,4.14,High
Hybrid,38,13.7,47.4,10289,6.1,6.5,65.8,4.63,2.78,High
Remote,36,11.3,40.5,10255,6.8,5.4,76.4,4.81,4.34,High
Hybrid,41,12.7,44.5,10117,6.7,7.1,73.2,4.92,3.92,High
Office,39,12.5,43.6,9526,6.1,2.8,74.4,2.15,3.92,High
Office,33,11,48.6,8511,5.5,3.6,63.5,2.9,4.21,High
Remote,38,15.8,45.4,11978,5.8,5.3,70.9,7.23,3.68,High
Office,35,12.3,34.4,10041,5.3,3.9,61.6,3.62,3.55,High
Remote,34,12.6,38.3,9847,5.7,3.9,61.5,6.81,2.39,High
Remote,30,5.8,39.4,9254,7.5,7.2,72.6,4.57,4.24,High
Office,33,8.5,44.1,8452,4.9,8.1,77.1,2.85,4.11,High
Remote,42,12.9,43.5,10553,6.8,4.2,77.6,5.43,3.43,High
Office,37,13,45.1,9870,6.5,7.3,73.9,1.7,3.86,High
Hybrid,28,4.5,48,8397,6.5,3.2,74.6,5.1,3.56,High
Office,21,0,52.8,5885,8.1,3.5,84.1,3.72,3.88,High
Remote,47,23.5,42,13872,6.4,6.2,63.5,6.7,4.08,High
Remote,39,13.1,39.6,10515,5.8,7.7,67.8,6.8,4.57,Medium
Office,35,10.1,50.2,7857,5.6,7.6,78.5,2.51,3.56,High
Hybrid,33,10.7,46,9406,7,5.2,87.7,5.35,3.64,High
Hybrid,28,5.2,46.7,8158,6.6,6.9,52.3,3.64,4.01,High
Remote,35,12.5,40,10453,7.6,3.7,84.7,7.24,3.1,High
Remote,24,2.2,36.6,7768,5.8,2.1,83.4,7.87,1.34,High
Remote,37,14.4,45.5,10807,7.1,8.3,53.1,5.42,4.05,High
Remote,33,10.1,44.3,9684,6.7,5.2,60.5,7.28,1.84,High
Remote,36,12.5,46.1,9815,6.8,5.1,82.6,4.73,3.92,High
Remote,21,0,38.7,7483,8.5,1.9,65.9,6,1.87,High
Remote,36,13.8,41.8,9976,5.5,3.4,69.3,6.2,1.99,High
Hybrid,26,3.1,46.4,7600,7.5,5.3,77.7,3.56,3.39,High
Office,44,19.5,48.1,11632,5.5,4.8,77.1,2.87,2.45,High
Office,24,2.2,46.3,6721,7.3,2.4,81.6,2.75,5.16,Medium
Remote,38,15.9,35.8,11765,7.4,6.6,86.3,5.5,3.18,High
Hybrid,44,21.9,40.4,11880,6.4,2.8,96,4.5,2.81,High
Remote,37,11.1,42.6,9750,7.4,4.8,77.6,5.59,3,High
Remote,35,9.5,33.8,9905,7.7,6.5,84.7,3.87,5.58,Medium
Remote,38,12.1,44.7,11175,4.9,0.6,72.1,5.86,1.83,High
Remote,31,9.2,44.4,9496,7,6.2,91.5,7.57,2.37,High
Hybrid,39,14,43.9,10264,6.8,4.8,60.1,5.06,3.52,High
Remote,33,10.2,40.1,9976,6.8,6.9,81.1,7.38,2.56,High
Hybrid,39,17.8,55.2,9785,5.4,4.7,58.8,4.78,3.41,High
Hybrid,37,11.6,49.3,9911,5.6,2.3,72.4,4.36,2.38,High
Hybrid,30,5.5,42.6,7722,6.7,6.7,79.3,4.31,4.36,High
Remote,36,10.9,38.3,10616,6.8,5.3,85.6,7.12,3.32,High
